aileron,elevator,rudder,flaps,slats,speedbrake,throttle,engine-pump0,engine-pump1,electric-pump0,electric-pump1,external-power,APU-generator,latitude-deg,longitude-deg,altitude-ft,roll-deg,pitch-deg,heading-deg,side-slip-deg,airspeed-kt,glideslope,vertical-speed-fps,airspeed-indicator_indicated-speed-kt,altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,attitude-indicator_indicated-pitch-deg,attitude-indicator_indicated-roll-deg,attitude-indicator_internal-pitch-deg,attitude-indicator_internal-roll-deg,encoder_indicated-altitude-ft,encoder_pressure-alt-ft,gps_indicated-altitude-ft,gps_indicated-ground-speed-kt,gps_indicated-vertical-speed,indicated-heading-offset-deg,indicated-heading-deg,magnetic-compass_indicated-heading-deg,slip-skid-ball_indicated-slip-skid,turn-indicator_indicated-turn-rate,vertical-speed-indicator_indicated-speed-fpm,engine_rpm
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.2656,4.15575,-2.588828,80.31705,68.91223,2.964552,-4.29E-4,-9.0E-6,0.0,149.94655,-237.94879,-2.58885,24.353077,-2.58885,24.353077,-239.99986,-240.0,157.2656,0.016153,-0.119152,12.868054,93.18484,64.316986,-0.898616,0.005401,-15.49223,2309.9558
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26555,4.156245,-2.588109,80.31857,68.91109,2.964539,6.96E-4,1.4E-5,0.0,149.9465,-237.94884,-2.588134,24.338573,-2.588134,24.338573,-239.99986,-240.0,157.26555,0.016121,-0.117877,12.868054,93.18636,64.29872,-0.89852,0.005396,-15.677887,2309.9556
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.2655,4.156713,-2.587317,80.32011,68.90997,2.964519,6.81E-4,1.4E-5,0.0,149.94646,-237.94888,-2.587346,24.324047,-2.587346,24.324047,-239.99986,-240.0,157.2655,0.016089,-0.118481,12.868054,93.18789,64.28106,-0.898436,0.005391,-15.857834,2309.9553
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26546,4.157155,-2.58645,80.32163,68.908936,2.964507,0.001646,3.3E-5,0.0,149.94641,-237.94893,-2.586483,24.309494,-2.586483,24.309494,-239.99986,-240.0,157.26546,0.016057,-0.117039,12.868054,93.189415,64.26402,-0.898352,0.005386,-16.033417,2309.955
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26541,4.157574,-2.585496,80.323166,68.90782,2.964483,0.001261,2.5E-5,0.0,149.94638,-237.94897,-2.585533,24.294918,-2.585533,24.294918,-239.99986,-240.0,157.26541,0.016025,-0.116905,12.868054,93.19095,64.24764,-0.898302,0.005381,-16.205406,2309.9548
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26537,4.157964,-2.584466,80.3247,68.90669,2.964466,0.001324,2.6E-5,0.0,149.94633,-237.949,-2.584506,24.280298,-2.584506,24.280298,-239.99986,-240.0,157.26537,0.015994,-0.115328,12.868054,93.19248,64.23196,-0.898245,0.005375,-16.375404,2309.9546
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26532,4.158338,-2.583359,80.32623,68.905624,2.964449,0.003068,6.1E-5,0.0,149.94629,-237.94905,-2.583404,24.265676,-2.583404,24.265676,-239.99986,-240.0,157.26532,0.015962,-0.116301,12.868054,93.194016,64.21698,-0.898203,0.00537,-16.540436,2309.9543
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26527,4.158678,-2.582177,80.32777,68.90453,2.964432,0.002708,5.3E-5,0.0,149.94626,-237.94908,-2.582225,24.25102,-2.582225,24.25102,-239.99986,-240.0,157.26527,0.015931,-0.1162,12.868054,93.19555,64.20275,-0.898165,0.005363,-16.699305,2309.954
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26524,4.158998,-2.580921,80.3293,68.90341,2.964417,0.004319,8.5E-5,0.0,149.94621,-237.94913,-2.580972,24.236345,-2.580972,24.236345,-239.99986,-240.0,157.26524,0.0159,-0.11459,12.868054,93.19708,64.18929,-0.898133,0.005357,-16.855492,2309.9539
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.2652,4.159301,-2.579585,80.33083,68.902405,2.964404,0.004335,8.5E-5,0.0,149.94618,-237.94917,-2.57964,24.221638,-2.57964,24.221638,-239.99986,-240.0,157.2652,0.015869,-0.115764,12.868054,93.198616,64.17663,-0.898114,0.005351,-17.006674,2309.9536
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26515,4.159586,-2.578164,80.33237,68.901306,2.964384,0.005434,1.07E-4,0.0,149.94614,-237.9492,-2.578223,24.206928,-2.578223,24.206928,-239.99986,-240.0,157.26515,0.015838,-0.114993,12.868054,93.20015,64.16478,-0.898107,0.005344,-17.155369,2309.9534
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26512,4.159858,-2.576672,80.33389,68.90007,2.964367,0.006024,1.18E-4,0.0,149.9461,-237.94923,-2.576735,24.192205,-2.576735,24.192205,-239.99986,-240.0,157.26512,0.015808,-0.113953,12.868054,93.20168,64.15376,-0.898118,0.005338,-17.298513,2309.9531
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26508,4.160101,-2.575107,80.33543,68.89898,2.964353,0.007516,1.47E-4,0.0,149.94606,-237.94928,-2.575174,24.177452,-2.575174,24.177452,-239.99986,-240.0,157.26508,0.015777,-0.113047,12.868054,93.20321,64.14361,-0.898135,0.005331,-17.435238,2309.953
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26505,4.160334,-2.573471,80.33696,68.89787,2.964337,0.007593,1.48E-4,0.0,149.94603,-237.94931,-2.57354,24.162674,-2.57354,24.162674,-239.99986,-240.0,157.26505,0.015748,-0.113047,12.868054,93.20474,64.13433,-0.89817,0.005324,-17.565706,2309.9526
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26501,4.160548,-2.571752,80.33849,68.89684,2.964323,0.007892,1.54E-4,0.0,149.946,-237.94934,-2.571826,24.147894,-2.571826,24.147894,-239.99986,-240.0,157.26501,0.015718,-0.113651,12.868054,93.206276,64.125946,-0.898221,0.005316,-17.692749,2309.9524
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26497,4.160746,-2.569962,80.34002,68.89561,2.964306,0.008713,1.69E-4,0.0,149.94597,-237.94937,-2.570039,24.133097,-2.570039,24.133097,-239.99986,-240.0,157.26497,0.015689,-0.112711,12.868054,93.20781,64.11847,-0.898282,0.005309,-17.8177,2309.9521
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26494,4.160938,-2.568101,80.34155,68.89444,2.964295,0.009444,1.83E-4,0.0,149.94594,-237.9494,-2.568182,24.11829,-2.568182,24.11829,-239.99986,-240.0,157.26494,0.015661,-0.111772,12.868054,93.209335,64.11192,-0.898349,0.005301,-17.938309,2309.952
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26491,4.16111,-2.56618,80.34308,68.89312,2.964281,0.010841,2.1E-4,0.0,149.9459,-237.94943,-2.566262,24.103453,-2.566262,24.103453,-239.99986,-240.0,157.26491,0.015633,-0.110061,12.868054,93.21086,64.10631,-0.89844,0.005294,-18.052507,2309.9517
